Timestamp,Schedule_Mode,FPS,Leaf_Lat_ms,Pest_Lat_ms,CPU_%,RAM_MB,Temp_C,Freq_MHz,Batt_Voltage_mV,Batt_Current_mA,Batt_Percent,Batt_State,Leaf_Detections,Pest_Detections
17:01:36.951,sequential,10.0,447.4,183.4,7.0,958.5,46.9,1700,16534,-340,99,idle,None,None
17:01:37.458,sequential,10.0,447.4,183.4,76.4,957.7,51.2,2400,16497,-438,99,idle,None,None
17:01:37.961,sequential,10.0,448.7,187.5,53.7,954.6,49.0,2400,16511,-529,99,idle,None,None
17:01:38.463,sequential,10.0,448.7,187.5,5.0,954.6,46.9,2400,16525,-510,99,idle,None,None
17:01:38.968,sequential,10.0,448.7,187.5,15.1,954.6,46.9,2400,16534,-342,99,idle,None,None
17:01:39.475,sequential,10.0,472.1,187.5,99.0,954.6,51.2,2400,16501,-415,99,idle,None,None
17:01:39.978,sequential,10.0,472.1,184.1,22.8,948.8,48.5,2400,16485,-545,99,idle,None,None
17:01:40.480,sequential,10.0,472.1,184.1,5.0,948.8,47.4,2400,16528,-464,99,idle,None,None
17:01:40.986,sequential,9.9,472.1,184.1,46.3,948.8,50.7,2400,16531,-338,99,idle,None,None
17:01:41.489,sequential,9.9,431.0,186.2,80.3,946.8,49.0,2400,16489,-482,99,idle,None,None
17:01:41.997,sequential,10.1,431.0,186.2,11.9,954.8,47.4,2400,16516,-547,99,idle,None,None
17:01:42.500,sequential,10.1,431.0,186.2,7.0,953.1,46.9,1700,16527,-411,99,idle,None,None
17:01:43.009,sequential,9.5,431.0,186.2,84.2,953.1,51.2,2400,16533,-362,99,idle,None,None
17:01:43.511,sequential,9.5,465.6,188.0,47.7,952.2,49.0,2400,16484,-520,99,idle,None,None
17:01:44.013,sequential,10.1,465.6,188.0,5.0,946.8,48.0,2400,16524,-512,99,idle,None,None
17:01:44.528,sequential,10.1,465.6,188.0,22.0,946.5,49.6,2400,16529,-343,99,idle,None,None
17:01:45.031,sequential,9.9,443.1,188.0,99.0,946.5,52.9,2400,16497,-421,99,idle,None,None
17:01:45.533,sequential,9.9,443.1,191.5,14.4,946.1,47.4,2400,16488,-543,99,idle,None,None
17:01:46.036,sequential,10.0,443.1,191.5,5.5,945.8,47.4,2400,16523,-462,99,idle,None,None
17:01:46.542,sequential,10.0,443.1,191.5,55.1,945.8,51.2,2400,16525,-346,99,idle,None,None
17:01:47.045,sequential,10.0,464.1,176.6,75.5,940.8,49.6,2400,16484,-492,99,idle,None,None
17:01:47.547,sequential,10.0,464.1,176.6,6.5,960.8,48.0,2400,16512,-550,99,idle,None,None
17:01:48.050,sequential,10.0,464.1,176.6,6.5,960.7,48.0,1700,16525,-397,99,idle,None,None
17:01:48.556,sequential,10.0,464.1,176.6,88.6,960.7,51.8,2400,16527,-362,99,idle,None,None
17:01:49.058,sequential,10.0,449.7,191.7,42.7,959.5,49.0,2400,16487,-527,99,idle,None,None
17:01:49.560,sequential,10.0,449.7,191.7,5.0,959.5,47.4,2400,16522,-505,99,idle,None,None
17:01:50.066,sequential,10.0,449.7,191.7,25.9,953.8,50.7,2400,16528,-340,99,idle,None,None
17:01:50.569,sequential,10.0,444.7,191.7,99.0,952.1,52.9,2400,16494,-426,99,idle,None,None
17:01:51.072,sequential,9.3,444.7,183.5,7.0,951.3,48.0,2400,16491,-538,99,idle,None,None
17:01:51.574,sequential,9.3,444.7,183.5,4.0,951.3,48.0,2400,16523,-446,99,idle,None,None
17:01:52.085,sequential,9.3,444.7,183.5,60.6,951.2,52.4,2400,16527,-336,99,idle,None,None
17:01:52.587,sequential,8.3,589.2,182.3,72.3,950.4,50.7,2400,16479,-484,99,idle,None,None
17:01:53.090,sequential,8.3,589.2,182.3,5.0,946.1,48.5,2400,16507,-480,99,idle,None,None
17:01:53.592,sequential,8.9,589.2,182.3,6.5,946.1,48.0,1700,16524,-357,99,idle,None,None
17:01:54.098,sequential,8.9,589.2,182.3,70.0,945.0,51.8,2400,16491,-429,99,idle,None,None
17:01:54.601,sequential,9.7,443.6,177.1,58.1,944.8,50.1,2400,16480,-549,99,idle,None,None
17:01:55.103,sequential,9.7,443.6,177.1,4.0,944.3,48.0,2400,16520,-457,99,idle,None,None
17:01:55.610,sequential,8.4,443.6,177.1,9.5,944.3,50.1,2400,16526,-326,99,idle,None,None
17:01:56.113,sequential,8.4,422.3,177.1,99.5,943.2,52.4,2400,16482,-473,99,idle,None,None
17:01:56.616,sequential,8.4,422.3,181.6,17.0,941.7,48.5,2400,16511,-528,99,idle,None,None
17:01:57.118,sequential,8.3,422.3,181.6,5.0,944.1,49.0,2400,16522,-383,99,idle,None,None
17:01:57.623,sequential,8.3,422.3,181.6,51.5,949.6,52.4,2400,16513,-384,99,idle,None,None
17:01:58.126,sequential,8.3,425.8,180.0,74.1,950.3,49.6,2400,16477,-535,99,idle,None,None
17:01:58.628,sequential,8.3,425.8,180.0,4.0,950.3,48.5,2400,16517,-489,99,idle,None,None
17:01:59.131,sequential,8.3,425.8,180.0,5.0,949.8,48.0,1700,16522,-340,99,idle,None,None
17:01:59.639,sequential,8.4,430.9,180.0,89.6,949.8,52.4,2400,16485,-458,99,idle,None,None
17:02:00.141,sequential,8.4,430.9,192.1,38.9,945.3,49.6,2400,16509,-546,99,idle,None,None
17:02:00.644,sequential,8.3,430.9,192.1,4.5,945.3,48.5,2400,16519,-431,99,idle,None,None
17:02:01.150,sequential,8.3,430.9,192.1,29.6,944.9,51.8,2400,16522,-353,99,idle,None,None
17:02:01.653,sequential,8.3,421.8,186.9,94.1,944.9,51.8,2400,16476,-508,99,idle,None,None
17:02:02.156,sequential,8.3,421.8,186.9,5.0,943.6,49.6,2400,16515,-513,99,idle,None,None
17:02:02.658,sequential,8.3,421.8,186.9,5.5,950.5,49.6,2400,16522,-350,99,idle,None,None
17:02:03.164,sequential,8.3,421.8,186.9,68.3,948.8,52.9,2400,16490,-415,99,idle,None,None
17:02:03.666,sequential,8.3,438.0,172.0,55.5,948.2,50.7,2400,16483,-529,99,idle,None,None
